PokedexNumber   PokemonName               Generation
1               Bulbasaur                 1         
2               Ivysaur                   1         
3               Venusaur                  1         
3               Mega Venusaur             1         
4               Charmander                1         
5               Charmeleon                1         
6               Charizard                 1         
6               Mega Charizard X          1         
6               Mega Charizard Y          1         
7               Squirtle                  1         
8               Wartortle                 1         
9               Blastoise                 1         
9               Mega Blastoise            1         
10              Caterpie                  1         
11              Metapod                   1         
12              Butterfree                1         
13              Weedle                    1         
14              Kakuna                    1         
15              Beedrill                  1         
15              Mega Beedrill             1         
16              Pidgey                    1         
17              Pidgeotto                 1         
18              Pidgeot                   1         
18              Mega Pidgeot              1         
19              Rattata                   1         
19              Alolan Rattata            1         
20              Raticate                  1         
20              Alolan Raticate           1         
21              Spearow                   1         
22              Fearow                    1         
23              Ekans                     1         
24              Arbok                     1         
25              Pikachu                   1         
25              Partner Pikachu           1         
26              Raichu                    1         
26              Alolan Raichu             1         
27              Sandshrew                 1         
27              Alolan Sandshrew          1         
28              Sandslash                 1         
28              Alolan Sandslash          1         
